,Factor 1,Factor 2,Factor 3,Factor 4,Factor 5,Factor 6,Factor 7
nn_count_freq,0.06641411823282233,-0.9285391597650249,-0.355582393138356,0.43857307690826963,-0.20059364881743422,-0.03737415595828938,-0.15597922921536223
ne_count_freq,-0.1076569703321238,0.22017270411007242,-0.1441625908768666,-0.6875107738490058,-0.1181327916127538,0.1520880930569516,0.2153904971695655
art_def_count_freq,-0.0712339736405053,-0.02265572636558698,-0.26291200718461927,-0.05917489681252694,-0.1330649309134132,0.04749865219187592,-0.2256721443347401
art_indef_count_freq,0.023901619214081852,-0.28376385779376107,0.10221819849284426,0.058654000169990554,-0.036422416915458236,-0.09700298883334373,0.04521582310672028
v_pres_ind_count_freq,1.0917455144501949,0.04713935315750066,-0.42416203116279955,0.20708610064877597,0.060256527955949546,-0.06880219103749056,-0.018237582831337647
v_pres_sub_count_freq,-0.09966433680491146,0.06338114964933315,0.001459071980677757,0.12841220385359983,-0.018258565101791583,-0.11038218540491457,0.23951069038402387
v_past_ind_count_freq,-0.36345069268051544,0.2824886540531659,0.002703861100102638,0.05210249892067576,-0.022142047950607757,-0.0580881588941971,-0.05105223517868907
v_past_sub_count_freq,-0.32897554130505857,0.010103357979056806,0.4979139976638423,0.02286778034535068,-0.0908014156942088,0.13458474640056556,0.0021469194551243407
v_inf_count_freq,-0.09952167665749352,-0.12336558229791944,0.5724163083239564,0.053055813583912634,-0.11724354007711767,0.03761389906223034,0.08812656543712133
v_pp_count_freq,-0.14051993622656753,0.2829023432666773,-0.10536355796667196,0.10783909951819826,-0.1141357467577178,-0.15421487255820884,-0.08891665826982494
v_caus_count_freq,0.035568858874567115,-0.024812117391694158,0.1594749758597165,0.07327727714086399,-0.03154786425763614,0.026970259646994107,0.024682592367734294
v_comm_count_freq,0.023140594451196594,0.11787420344500732,0.12066281915294094,0.1330066019491667,-0.03964879984001446,0.00673956265804832,0.05258413622330788
v_desire_count_freq,0.016003570414508575,-0.027662241465748395,0.016280469446962802,0.02115910073948903,-0.02156861114698606,-0.0019253519803046125,0.110223505979876
v_epist_count_freq,-0.0038197959943303,0.07739925940553921,0.022861438388642064,0.052746105207235106,0.026021832425914448,-0.0019763402473332117,-0.016539377988416547
v_exist_count_freq,-0.02632776791720697,0.07187207085965645,0.037058994479182567,-0.0009338006460070827,-0.09217444552746352,0.036861636778060286,-0.09119552154179611
v_justif_count_freq,0.036401461115787466,-0.008415408963505627,0.017420670487799817,0.013889975203079958,-0.03441989039060725,0.0114494027323707,-0.018534456283693736
v_mental_count_freq,0.1102282796334674,0.17414000452298323,-0.025056474641235962,0.06097763413636589,0.027524208473525248,0.17511920147655977,-0.034153259706094084
adja_pos_count_freq,-0.06811445182457841,-0.21261792803539373,-0.07292302429747044,0.019761858669545787,0.17289709429355618,0.016095220715839475,-0.0808133361211644
adja_cmp_count_freq,-0.006593195477343848,-0.053117790350275654,0.0014784635847091626,0.016477371890172555,0.06141131814885302,-0.031542228527932065,-0.030786536010652805
